FID,LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,Coverage_p,Points to Stations_HubDist,Points to Stations_Distance,Points to Stations_NormDist,Accessibility Index,No Car or vans in household(%),Index of Multiple Deprivation (IMD) Score,Income Score (rate),Income Decile,Employment Decile,Education Score,Health Deprivation and Disability Score,Barriers to Housing and Services Score,Living Environment Score,Income Rank
3329,E01003488,Newham 019A,,541709,183657,51.534,0.041735,55.04,459.7820225,0.28,0.72,27.88,52,40.7,0.3,1,2,24.7,0.3,49.5,21.4,3282
3330,E01003489,Newham 019B,,541447,183584,51.5335,0.037931,98.35,253.1120976,0.15,0.85,49.6,52,34.4,0.2,2,4,21.8,0,50.9,25.6,4705
3332,E01003491,Newham 022A,,541240,183621,51.5338,0.034964,91.72,247.2806249,0.15,0.85,46.285,52.7,29.5,0.2,3,5,15,-0.4,47.6,45.9,7609
3403,E01003566,Newham 014D,,541316,183997,51.5372,0.036209,100,231.5552821,0.14,0.86,50.43,48.3,30.4,0.2,3,5,19.2,-0.1,49.9,34.8,9823
3406,E01003569,Newham 017B,,541044,183980,51.5371,0.032283,99.65,234.8967524,0.14,0.86,50.255,47.2,27.7,0.2,3,6,15,-0.3,50.3,29.7,9472
3442,E01003605,Newham 028C,,541278,183062,51.5288,0.035287,2.55,722.5578119,0.45,0.55,1.55,47.1,29.5,0.2,3,4,22.4,-0.3,48.5,38.2,8848
3333,E01003492,Newham 025A,,541747,183067,51.5287,0.042045,,815.2203203,0.51,0.49,0.245,41.9,24.9,0.1,5,7,21.2,-0.1,46.7,43.7,14389
3405,E01003568,Newham 017A,,540862,183816,51.5357,0.029595,96.01,331.4732273,0.2,0.8,48.405,47.2,24,0.1,4,5,12.7,-0.1,47.6,28.6,11601
3436,E01003599,Newham 022C,,541005,183475,51.5326,0.031519,79.33,384.1869665,0.24,0.76,40.045,52.7,31.2,0.2,3,4,21.5,-0.2,50.7,27.2,6616
3334,E01003494,Newham 025C,,541699,182800,51.5263,0.041247,,1041.935799,0.65,0.35,0.175,41.9,21.3,0.1,5,7,19.3,-0.8,43.2,40.5,14602
3335,E01003495,Newham 025D,,542018,182841,51.5266,0.045858,,1187.811895,0.74,0.26,0.13,41.9,18,0.1,5,7,12.8,-0.6,39.3,36.3,15850
3364,E01003527,Newham 024B,,542432,183056,51.5285,0.051909,,1208.229348,0.76,0.24,0.12,41.9,19.9,0.1,6,7,14.7,-0.6,41.5,37.8,17572
3374,E01003537,Newham 024C,,542461,182728,51.5255,0.052194,,1325.473527,0.83,0.17,0.085,41.9,25.3,0.1,4,6,15.7,0,43.5,42.4,11074
3376,E01003539,Newham 029B,,541831,182379,51.5225,0.042979,,1486.954669,0.93,0.07,0.035,40.6,27.3,0.2,3,5,18.7,-0.1,46.2,32,9078
3336,E01003496,Newham 027A,,539439,182881,51.5276,0.008723,100,248.8778441,0.15,0.85,50.425,54.5,28.5,0.2,3,3,12.8,-0.1,48,18.4,7699
3338,E01003498,Newham 027B,,539913,182682,51.5257,0.015472,23.3,628.7317493,0.39,0.61,11.955,54.5,33.2,0.2,3,4,20.1,0.3,50.4,18.7,7080
3340,E01003500,Newham 027C,,539039,182529,51.5246,0.002821,70.71,361.0292196,0.22,0.78,35.745,54.5,34.3,0.2,3,3,20.2,0.4,52,29.2,7786
3430,E01003593,Newham 027D,,539917,183105,51.5295,0.015697,100,164.4658016,0.1,0.9,50.45,54.5,32.7,0.2,2,3,17.7,0.3,52.7,23.8,5747
3460,E01003631,Newham 020A,,539338,183215,51.5307,0.0074,100,240.1646127,0.14,0.86,50.43,53,27.2,0.2,3,5,16.7,-0.2,44.5,37.7,8342
3461,E01003632,Newham 020B,,539688,183337,51.5317,0.01249,100,328.3433012,0.2,0.8,50.4,53,21,0.1,5,6,14.5,-0.5,45.7,28.4,13616
3344,E01003506,Newham 034D,,540406,181014,51.5106,0.02191,100,232.2876095,0.14,0.86,50.43,63.1,45.3,0.3,1,2,23.2,0.9,51.4,23.6,2564
3352,E01003515,Newham 036D,,541249,180905,51.5094,0.034006,99.61,71.92038994,0.04,0.96,50.285,48.1,47.7,0.3,1,2,25.3,0.8,49.9,24,2747
3354,E01003517,Newham 036E,,540702,181629,51.5161,0.026417,32.85,561.9671335,0.35,0.65,16.75,48.1,46.7,0.3,1,2,20.3,1.2,47.3,26.2,2728
