FID,LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,Coverage_p,HubDist,Distance,NormDist,Accessibility Index,CAI,No Car or vans in household(%),IMD_Rank,IMD_Decile,IMDScore,IMDRank0,IMDDec0,Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score",Health Deprivation and Disability Score,Barriers to Housing and Services Score,Living Environment Score
3380,E01003543,Newham 001A,,540727,185689,51.5526,0.028398,99.83,136.5057338,0.08,0.92,50.375,1.0075,47.7,11912,4,23.221,11912,4,5,9.8,-0.1,47.1,26.8
3381,E01003544,Newham 001B,,539998,185584,51.5518,0.017849,64.23,403.4568005,0.25,0.75,32.49,0.6498,47.7,8651,3,28.703,8651,3,6,21,0.1,47.8,39.7
3383,E01003546,Newham 001C,,540377,185589,51.5517,0.023314,95.64,216.5710864,0.13,0.87,48.255,0.9651,47.7,6455,2,33.531,6455,2,4,17.7,0.3,49.8,25.2
3387,E01003550,Newham 001D,,540300,185913,51.5547,0.022333,89.77,340.1597573,0.21,0.79,45.28,0.9056,47.7,9615,3,26.959,9615,3,5,15.4,-0.3,50.8,35
3413,E01003576,Newham 002A,,542934,185981,51.5546,0.060327,,1037.684033,0.65,0.35,0.175,0.0035,47.3,4849,2,38.074,4849,2,3,25.3,0.3,49.8,29.2
3418,E01003581,Newham 002B,,542735,185695,51.5521,0.057343,,757.142901,0.47,0.53,0.265,0.0053,47.3,9714,3,26.783,9714,3,6,24.7,-0.4,49.8,33.6
3419,E01003582,Newham 002C,,543098,185587,51.551,0.062531,,1105.556581,0.69,0.31,0.155,0.0031,47.3,7600,3,30.905,7600,3,4,26.7,-0.2,47.8,30.3
3420,E01003583,Newham 002D,,542961,185391,51.5493,0.060477,,988.4980339,0.62,0.38,0.19,0.0038,47.3,8779,3,28.482,8779,3,5,21.1,0,47.8,37.1
3415,E01003578,Newham 003A,,542324,186274,51.5574,0.051653,10.08,688.1305559,0.43,0.57,5.325,0.1065,45.7,10059,4,26.188,10059,4,7,24.1,-0.2,49.5,38.4
3421,E01003584,Newham 003B,,541552,185627,51.5518,0.040265,67.5,424.9708642,0.26,0.74,34.12,0.6824,45.7,8266,3,29.49,8266,3,4,12.5,-0.1,46,29.2
