FID,LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,Coverage_p,Bus Stops_HubDist,Distance,NormDist,Accessibility Index
3329,E01003488,Newham 019A,,541709,183657,51.534,0.041735,30,346.1918448,0.54,0.46,15.23
3330,E01003489,Newham 019B,,541447,183584,51.5335,0.037931,61,137.0988116,0.2,0.8,30.9
3332,E01003491,Newham 022A,,541240,183621,51.5338,0.034964,76,92.29625739,0.12,0.88,38.44
3403,E01003566,Newham 014D,,541316,183997,51.5372,0.036209,90,55.11009442,0.06,0.94,45.47
3406,E01003569,Newham 017B,,541044,183980,51.5371,0.032283,90,56.16907518,0.07,0.93,45.465
3442,E01003605,Newham 028C,,541278,183062,51.5288,0.035287,85,120.9979573,0.17,0.83,42.915
32240,E01034201,Newham 022E,,541031,183220,51.5303,0.031792,37,158.6942425,0.23,0.77,18.885
32242,E01034203,Newham 025E,,541612,183341,51.5312,0.040211,89,45.68102986,0.05,0.95,44.975
3333,E01003492,Newham 025A,,541747,183067,51.5287,0.042045,93,46.90644593,0.05,0.95,46.975
3405,E01003568,Newham 017A,,540862,183816,51.5357,0.029595,28,226.5930891,0.34,0.66,14.33
3436,E01003599,Newham 022C,,541005,183475,51.5326,0.031519,2.4,376.6898228,0.59,0.41,1.405
3334,E01003494,Newham 025C,,541699,182800,51.5263,0.041247,89,132.3330363,0.19,0.81,44.905
3335,E01003495,Newham 025D,,542018,182841,51.5266,0.045858,24,202.6994086,0.31,0.69,12.345
3364,E01003527,Newham 024B,,542432,183056,51.5285,0.051909,9.6,350.6202261,0.55,0.45,5.025
3374,E01003537,Newham 024C,,542461,182728,51.5255,0.052194,27,354.9201434,0.56,0.44,13.72
3376,E01003539,Newham 029B,,541831,182379,51.5225,0.042979,64,86.22713163,0.11,0.89,32.445
32243,E01034204,Newham 025F,,541941,183202,51.5299,0.044894,45,174.4926599,0.26,0.74,22.87
3336,E01003496,Newham 027A,,539439,182881,51.5276,0.008723,28,279.8043065,0.43,0.57,14.285
3338,E01003498,Newham 027B,,539913,182682,51.5257,0.015472,71,87.63717392,0.12,0.88,35.94
3340,E01003500,Newham 027C,,539039,182529,51.5246,0.002821,40,109.9033962,0.15,0.85,20.425
3430,E01003593,Newham 027D,,539917,183105,51.5295,0.015697,58,151.9671858,0.22,0.78,29.39
3460,E01003631,Newham 020A,,539338,183215,51.5307,0.0074,60,25.53596677,0.02,0.98,30.49
3461,E01003632,Newham 020B,,539688,183337,51.5317,0.01249,42,218.4453401,0.33,0.67,21.335
