FID,LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,Coverage_p,Points to Stations_HubDist,Points to Stations_Distance,Points to Stations_NormDist,Accessibility Index,White British%,White%,Asian%,Black%
3329,E01003488,Newham 019A,,541709,183657,51.534,0.041735,55.04,459.7820225,0.28,0.72,27.88,12.34,19.16,45.5,20.53
3330,E01003489,Newham 019B,,541447,183584,51.5335,0.037931,98.35,253.1120976,0.15,0.85,49.6,10.27,19.07,48.37,22.2
3332,E01003491,Newham 022A,,541240,183621,51.5338,0.034964,91.72,247.2806249,0.15,0.85,46.285,4.8,14.75,69.04,10.05
3403,E01003566,Newham 014D,,541316,183997,51.5372,0.036209,100,231.5552821,0.14,0.86,50.43,3.57,11.11,73.46,6.37
3406,E01003569,Newham 017B,,541044,183980,51.5371,0.032283,99.65,234.8967524,0.14,0.86,50.255,3.12,12.36,77.46,4.3
3442,E01003605,Newham 028C,,541278,183062,51.5288,0.035287,2.55,722.5578119,0.45,0.55,1.55,11.61,22.54,50.26,20.05
32240,E01034201,Newham 022E,,541031,183220,51.5303,0.031792,26.63,553.5630438,0.34,0.66,13.645,9.22,22.18,54.12,14.76
32242,E01034203,Newham 025E,,541612,183341,51.5312,0.040211,15.5,571.310191,0.35,0.65,8.075,11.86,21.65,53.46,11.63
3333,E01003492,Newham 025A,,541747,183067,51.5287,0.042045,,815.2203203,0.51,0.49,0.245,8.16,20.98,60.25,10.57
3405,E01003568,Newham 017A,,540862,183816,51.5357,0.029595,96.01,331.4732273,0.2,0.8,48.405,4.52,12.7,74.59,6.1
3436,E01003599,Newham 022C,,541005,183475,51.5326,0.031519,79.33,384.1869665,0.24,0.76,40.045,8.76,18.61,60.22,15.27
3334,E01003494,Newham 025C,,541699,182800,51.5263,0.041247,,1041.935799,0.65,0.35,0.175,12.58,30.54,46.05,13.14
3335,E01003495,Newham 025D,,542018,182841,51.5266,0.045858,,1187.811895,0.74,0.26,0.13,20.2,34.87,44.93,11.45
3364,E01003527,Newham 024B,,542432,183056,51.5285,0.051909,,1208.229348,0.76,0.24,0.12,18.44,31.13,49.34,9.52
3374,E01003537,Newham 024C,,542461,182728,51.5255,0.052194,,1325.473527,0.83,0.17,0.085,17.42,32.98,43.31,12.32
3376,E01003539,Newham 029B,,541831,182379,51.5225,0.042979,,1486.954669,0.93,0.07,0.035,12.87,33.52,41.46,15.41
32243,E01034204,Newham 025F,,541941,183202,51.5299,0.044894,,914.4431157,0.57,0.43,0.215,8.98,25.39,56.5,9.43
3336,E01003496,Newham 027A,,539439,182881,51.5276,0.008723,100,248.8778441,0.15,0.85,50.425,13.76,30.43,27.01,31.62
3338,E01003498,Newham 027B,,539913,182682,51.5257,0.015472,23.3,628.7317493,0.39,0.61,11.955,20.46,36.65,23.76,24.29
3340,E01003500,Newham 027C,,539039,182529,51.5246,0.002821,70.71,361.0292196,0.22,0.78,35.745,23.56,43.09,21.67,25.22
3430,E01003593,Newham 027D,,539917,183105,51.5295,0.015697,100,164.4658016,0.1,0.9,50.45,17.92,33.99,33.73,22.62
3460,E01003631,Newham 020A,,539338,183215,51.5307,0.0074,100,240.1646127,0.14,0.86,50.43,20.03,40.65,20.62,27
3461,E01003632,Newham 020B,,539688,183337,51.5317,0.01249,100,328.3433012,0.2,0.8,50.4,17.96,41.7,31.11,14.96
3344,E01003506,Newham 034D,,540406,181014,51.5106,0.02191,100,232.2876095,0.14,0.86,50.43,23.47,38.02,19.61,30.5
3352,E01003515,Newham 036D,,541249,180905,51.5094,0.034006,99.61,71.92038994,0.04,0.96,50.285,20.14,39.62,17.16,31.91
3354,E01003517,Newham 036E,,540702,181629,51.5161,0.026417,32.85,561.9671335,0.35,0.65,16.75,25.05,36.38,19.57,34.41
31673,E01033584,Newham 034I,,540063,181147,51.5119,0.017023,93.56,321.0385551,0.2,0.8,47.18,22.41,35.2,19.16,34.14
32249,E01034210,Newham 034L,,539891,180958,51.5102,0.014471,100,156.7698826,0.09,0.91,50.455,20.56,46.3,26.85,13.55
32251,E01034212,Newham 034N,,540285,180688,51.5077,0.020037,100,231.1475599,0.14,0.86,50.43,17.89,42.79,35.27,12.24
3341,E01003501,Newham 030B,,539873,182282,51.5221,0.014737,,822.643756,0.51,0.49,0.245,18.14,33.43,29.77,25.34
3345,E01003507,Newham 031A,,540551,182118,51.5205,0.024438,,1212.783153,0.76,0.24,0.12,19.86,38.17,29.28,22.34
3346,E01003508,Newham 031B,,540242,181711,51.5169,0.019825,,884.096553,0.55,0.45,0.225,21.9,45.36,22.17,20.65
3347,E01003509,Newham 031C,,540404,181943,51.519,0.022251,,1002.813681,0.63,0.37,0.185,35.65,56.64,16.73,15.47
3348,E01003511,Newham 036A,,540263,181466,51.5147,0.02003,10.38,605.448303,0.38,0.62,5.5,22.91,40.06,18.62,29.92
32247,E01034208,Newham 034J,,539829,181423,51.5144,0.013763,70.61,409.5521487,0.25,0.75,35.68,23,34.75,21.71,31.11
3349,E01003512,Newham 036B,,541060,181376,51.5137,0.031472,83.21,410.9160409,0.25,0.75,41.98,25.14,46.64,16.86,27.41
3351,E01003514,Newham 036C,,541514,181242,51.5124,0.037957,74.93,437.4501418,0.27,0.73,37.83,26.23,45.79,13.48,29.96
3353,E01003516,Newham 032C,,541339,181704,51.5166,0.035622,,777.3790987,0.48,0.52,0.26,21.68,35.92,20.67,33.9
