lsoa21cd,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
E01003590,"5","5",797.368,74656.366,73858.998,173181.325,34636.265,32679.509,27469.250278632,797.368,797.368,10014.407,55033.675,45019.268
E01003578,"6","6",33.917,64918.414,64884.497,116318.025,19386.3375,3723.444,25469.0038499847,33.917,33.917,278.897,43639.909,43361.012
E01003577,"3","3",40.187,30242.186,30201.999,39493.419,13164.473,9211.046,12642.8471129528,40.187,40.187,4625.6165,19726.616,15100.9995
E01003576,"5","5",2846.166,50968.096,48121.93,141001.958,28200.3916,21557.823,19446.6805783774,2846.166,2846.166,14885.212,50744.661,35859.449
E01003581,"4","4",4819.887,45785.326,40965.439,76493.263,19123.31575,12944.025,16493.2643837493,4819.887,4819.887,5412.573,32834.0585,27421.4855
E01003543,"5","5",176.422,33430.71,33254.288,63638.472,12727.6944,5428.482,13538.6830084777,176.422,176.422,539.446,24063.412,23523.966
E01003550,"3","3",7088.456,50139.135,43050.679,94930.463,31643.4876666667,37702.872,18090.0957149586,7088.456,7088.456,22395.664,43921.0035,21525.3395
E01003546,"4","4",4417.062,31559.694,27142.632,68314.188,17078.547,16168.716,12643.5980412803,4417.062,4417.062,4507.456,29649.638,25142.182
E01003591,"8","8",300.73,48942.172,48641.442,144081.452,18010.1815,7997.8645,18416.0495926175,300.73,300.73,2365.748,37055.6625,34689.9145
E01003582,"3","3",3161.367,32634.386,29473.019,42853.773,14284.591,7058.02,13072.4190201386,3161.367,3161.367,5109.6935,19846.203,14736.5095
E01003585,"3","3",622.121,7051.142,6429.021,13511.912,4503.97066666667,5838.649,2789.15787108013,622.121,622.121,3230.385,6444.8955,3214.5105
E01034213,"3","3",181.698,23746.513,23564.815,31810.682,10603.5606666667,7882.471,9810.82304486857,181.698,181.698,4032.0845,15814.492,11782.4075
E01034218,"6","6",1577.299,73652.619,72075.32,154894.659,25815.7765,6200.127,30370.390338792,1577.299,1577.299,3952.71,63311.777,59359.067
E01003587,"8","8",8.954,49906.856,49897.902,103918.066,12989.75825,8884.725,14856.9373809041,8.954,8.954,3924.059,14192.344,10268.285
E01003615,"3","3",1838.49,23726.853,21888.363,44260.282,14753.4273333333,18694.939,9360.43960395003,1838.49,1838.49,10266.7145,21210.896,10944.1815
E01003548,"5","5",2285.893,31129.714,28843.821,60269.645,12053.929,7933.332,10818.4325289783,2285.893,2285.893,2551.673,16369.033,13817.36
E01034219,"12","12",208.197,53462.996,53254.799,137580.684,11465.057,4440.3825,15379.3520282562,208.197,208.197,3497.1895,11814.2175,8317.028
E01003579,"4","4",3584.28,21296.799,17712.519,47054.926,11763.7315,11086.9235,7809.43081060107,3584.28,3584.28,4071.2125,19456.2505,15385.038
E01003616,"6","6",444.035,39271.022,38826.987,78747.527,13124.5878333333,5640.3255,14566.8638148362,444.035,444.035,1474.103,26277.716,24803.613
E01003545,"3","3",6257.764,33661.841,27404.077,71300.756,23766.9186666667,31381.151,12415.803359025,6257.764,6257.764,18819.4575,32521.496,13702.0385
E01003557,"7","7",0.926,77723.809,77722.883,132796.483,18970.9261428571,7538.285,25842.8224309884,0.926,0.926,3691.653,20075.0785,16383.4255
E01003586,"5","5",1061.723,39510.001,38448.278,93368.705,18673.741,9430.483,16569.4864639232,1061.723,1061.723,5483.644,37882.854,32399.21
E01003584,"3","3",2127.562,36456.656,34329.094,41999.082,13999.694,3414.864,15888.1642176786,2127.562,2127.562,2771.213,19935.76,17164.547
E01003575,"4","4",2830.09,37239.152,34409.062,60703.395,15175.84875,10317.0765,13793.26934725,2830.09,2830.09,3520.006,26831.6915,23311.6855
E01034215,"4","4",2402.994,25705.859,23302.865,37403.575,9350.89375,4647.361,9509.80859587043,2402.994,2402.994,3058.648,15643.1395,12584.4915
E01034216,"5","5",3838.785,18685.304,14846.519,51670.058,10334.0116,5574.185,6752.49732293828,3838.785,3838.785,5108.423,18463.361,13354.938
E01003549,"4","4",1160.977,44780.069,43619.092,78964,19741,16511.477,16575.4690887057,1160.977,1160.977,5196.982,34285.018,29088.036
E01003583,"2","2",34246.19,43771.45,9525.25999999999,78017.64,39008.82,39008.82,4762.63,34246.19,34246.19,34246.19,43771.45,9525.25999999999
E01003580,"2","2",181.022,6954.089,6773.067,7135.111,3567.5555,3567.5555,3386.5335,181.022,181.022,181.022,6954.089,6773.067
E01003567,"7","7",499.649,27153.909,26654.26,91108.562,13015.5088571429,16995.366,9109.04006306839,499.649,499.649,5006.824,18222.995,13216.171
E01003570,"7","7",1697.045,34999.414,33302.369,84062.199,12008.8855714286,9379.96,11131.4862194073,1697.045,1697.045,2431.4255,16561.4645,14130.039
E01003555,"7","7",865.675,32792.825,31927.15,61473.026,8781.86085714286,6751.074,10373.4702941867,865.675,865.675,1384.1365,9147.5895,7763.453
E01003561,"6","6",3113.854,27963.531,24849.677,73395.041,12232.5068333333,7029.473,10314.6744592118,3113.854,3113.854,3434.789,24823.921,21389.132
E01003556,"6","6",1632.49,37335.934,35703.444,103169.074,17194.8456666667,16668.595,13690.6258493544,1632.49,1632.49,2151.576,28711.884,26560.308
E01003558,"6","6",614.781,58505.622,57890.841,129269.133,21544.8555,13331.016,19732.4636126427,614.781,614.781,8218.95,35267.748,27048.798
E01003551,"4","4",2270.853,33557.064,31286.211,62086.834,15521.7085,13129.4585,13087.794304902,2270.853,2270.853,3051.816,27991.601,24939.785
E01034220,"20","20",1075.238,58993.005,57917.767,251783.708,12589.1854,4821.079,17530.0722016529,1075.238,1075.238,2799.5395,7894.656,5095.1165
E01003530,"4","4",398.91,29628.357,29229.447,58587.14,14646.785,14279.9365,12764.1246899454,398.91,398.91,2048.2405,27245.3295,25197.089
E01003534,"4","4",1710.654,37076.485,35365.831,80594.247,20148.56175,20903.554,14442.6613107878,1710.654,1710.654,6223.911,34073.2125,27849.3015
E01003528,"3","3",6959.791,10323.456,3363.665,24905.39,8301.79666666667,7622.143,1454.87854888678,6959.791,6959.791,7290.967,8972.7995,1681.8325
E01003544,"4","4",3505.859,14091.17,10585.311,34475.047,8618.76175,8439.009,4930.97457137807,3505.859,3505.859,3705.7075,13531.816,9826.1085
E01034199,"6","6",3320.241,44526.61,41206.369,87358.284,14559.714,9953.3945,14357.72614261,3320.241,3320.241,3980.515,15624.129,11643.614
E01034217,"8","8",846.572,49052.324,48205.752,103390.028,12923.7535,5098.829,16120.8297273331,846.572,846.572,2420.9465,19225.7905,16804.844
E01003559,"7","7",663.42,58287.465,57624.045,139690.206,19955.7437142857,10403.508,20255.3293550542,663.42,663.42,3695.013,31472.8935,27777.8805
E01003618,"7","7",10.156,61094.602,61084.446,114985.339,16426.477,11957.753,20307.6281282726,10.156,10.156,1228.5475,19732.8665,18504.319
E01003588,"3","3",1599.317,5607.436,4008.119,12679.56,4226.52,5472.807,1858.52592920967,1599.317,1599.317,3536.062,5540.1215,2004.0595
E01003589,"4","4",7.211,16010.898,16003.687,35494.573,8873.64325,9738.232,6314.15812016018,7.211,7.211,2987.7375,14759.549,11771.8115
E01003529,"7","7",511.131,41711.535,41200.404,98080.666,14011.5237142857,2346.3,16735.0040347185,511.131,511.131,1307.8865,25447.9635,24140.077
E01003560,"3","3",1300.697,15987.502,14686.805,32146.408,10715.4693333333,14858.209,6673.1940995966,1300.697,1300.697,8079.453,15422.8555,7343.4025
E01003562,"8","8",1004.819,31947.483,30942.664,95465.907,11933.238375,7657.845,11522.4144259244,1004.819,1004.819,2825.944,20773.0135,17947.0695
E01003553,"3","3",6505.777,37746.209,31240.432,77973.41,25991.1366666667,33721.424,13875.8580414228,6505.777,6505.777,20113.6005,35733.8165,15620.216
E01003554,"3","3",38.849,19150.08,19111.231,20856.548,6952.18266666667,1667.619,8650.80911222106,38.849,38.849,853.234,10408.8495,9555.6155
E01003532,"7","7",1750.769,47867.141,46116.372,106829.941,15261.4201428571,9888.415,15777.1977098209,1750.769,1750.769,3875.572,19786.236,15910.664
E01034200,"9","9",1053.17,50455.409,49402.239,119423.141,13269.2378888889,3670.55,17306.8989738506,1053.17,1053.17,2338.072,13366.186,11028.114
E01003563,"4","4",530.062,17639.431,17109.369,36495.696,9123.924,9163.1015,7753.47858349061,530.062,530.062,1417.035,16830.813,15413.778
E01003571,"6","6",775.676,29186.286,28410.61,73339.688,12223.2813333333,11342.1115,9935.33912574556,775.676,775.676,1506.246,19187.257,17681.011
E01003573,"4","4",1848.5,29417.397,27568.897,51228.706,12807.1765,9981.4045,10359.1963421441,1848.5,1848.5,4444.8415,21169.5115,16724.67
E01003572,"3","3",18595.538,35949.345,17353.807,82650.421,27550.1403333333,28105.538,7095.5387051497,18595.538,18595.538,23350.538,32027.4415,8676.9035
E01003564,"7","7",257.387,40964.911,40707.524,73277.412,10468.2017142857,5453.878,13704.9360214931,257.387,257.387,650.803,12649.815,11999.012
