lsoa21cd,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
E01003489,"9","9",52.679,17109.276,17056.597,51173.984,5685.99822222222,4099.201,4801.40619446437,52.679,52.679,3019.244,6297.914,3278.67
E01003491,"9","9",1636.194,14849.196,13213.002,56294.995,6254.99944444444,4839.352,3686.57772617569,1636.194,1636.194,4335.065,6838.59,2503.525
E01003496,"11","11",3004.125,30019.561,27015.436,89961.459,8178.31445454546,4908.262,7560.15149675928,3004.125,3004.125,4163.5895,7545.6225,3382.033
E01003506,"19","19",97.944,29152.103,29054.159,92596.075,4873.47763157895,2648.837,6309.05105621957,97.944,97.944,1455.9405,6239.263,4783.3225
E01003532,"8","8",1379.351,22267.496,20888.145,55505.288,6938.161,4307.529,6248.47676271685,1379.351,1379.351,3671.4635,7950.228,4278.7645
E01003565,"1","1",52.518,52.518,0,52.518,52.518,52.518,0,52.518,52.518,52.518,52.518,0
E01003566,"9","9",8.528,16698.072,16689.544,46821.049,5202.33877777778,3536.794,4711.78336892964,8.528,8.528,2618.699,5647.866,3029.167
E01003568,"3","3",1130.764,14602.738,13471.974,19624.31,6541.43666666667,3890.808,5810.50170585325,1130.764,1130.764,2510.786,9246.773,6735.987
E01003569,"9","9",1606.891,12105.594,10498.703,53715.832,5968.42577777778,5237.989,2702.35321151177,1606.891,1606.891,4801.949,6356.036,1554.087
E01003593,"8","8",299.189,23656.347,23357.158,73644.021,9205.502625,7952.0235,6290.39043620058,299.189,299.189,6446.7525,10445.4665,3998.714
E01003598,"2","2",1197.118,10327.204,9130.086,11524.322,5762.161,5762.161,4565.043,1197.118,1197.118,1197.118,10327.204,9130.086
E01003626,"4","4",506.732,8426.648,7919.916,15129.719,3782.42975,3098.1695,2933.01977139009,506.732,506.732,1419.202,6145.6575,4726.4555
E01003627,"4","4",231.852,5452.724,5220.872,10391.034,2597.7585,2353.229,1934.25405606884,231.852,231.852,922.165,4273.352,3351.187
E01003629,"3","3",0.94,8577.301,8576.361,9981.243,3327.081,1403.002,3756.3326085657,0.94,0.94,701.971,4990.1515,4288.1805
E01003633,"4","4",352.493,12310.239,11957.746,19429.266,4857.3165,3383.267,4557.35817320465,352.493,352.493,1266.5355,8448.0975,7181.562
E01003634,"10","10",1036.822,17368.712,16331.89,67598.918,6759.8918,4955.628,5428.65176024428,1036.822,1036.822,2922.504,8121.304,5198.8
E01034200,"18","18",225.155,28688.019,28462.864,70966.4,3942.57777777778,1723.6805,6495.97785661821,225.155,225.155,1148.569,3501.542,2352.973
E01034214,"4","4",617.845,16622.358,16004.513,28424.025,7106.00625,5591.911,5982.85498099136,617.845,617.845,2243.4795,11968.533,9725.0535
E01034215,"6","6",261.173,11262.987,11001.814,29250.127,4875.02116666667,4832.1275,3361.81645560975,261.173,261.173,2588.16,5473.552,2885.392
E01034216,"6","6",662.242,12647.134,11984.892,31098.611,5183.10183333333,3353.3185,4182.98689755177,662.242,662.242,2350.917,8731.681,6380.764
E01034226,"4","4",480.967,12765.172,12284.205,19571.742,4892.9355,3162.8015,4675.26680177177,480.967,480.967,1789.912,7995.959,6206.047
E01034227,"3","3",274.175,9245.508,8971.333,11490.825,3830.275,1971.142,3891.31388119651,274.175,274.175,1122.6585,5608.325,4485.6665
E01034228,"3","3",3884.834,20656.869,16772.035,41277.873,13759.291,16736.17,7163.40914861944,3884.834,3884.834,10310.502,18696.5195,8386.0175
