FID,LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,GlobalID,Shape_Leng,Shape__Are,Shape__Len,5min Bus Accessibility_LONG,Coverage_p,HubDist,Distance,NormDist,Acc,No Car or vans in household(%),IMD_Rank,Decile,IMDScore
3380,E01003543,Newham 001A,,540727,185689,51.5526,0.028398,3c4015e5-b53b-468b-8e5e-7a0f7e47c00b,2423.886218,165618.6814,2423.886218,0.028398,38,218.400132,0.33,0.67,19.335,47.7,11912,4,23.221
3381,E01003544,Newham 001B,,539998,185584,51.5518,0.017849,0f544968-717a-481e-aeab-101fd55d6eec,3592.260772,151732.9786,3592.260772,0.017849,22,291.3132106,0.45,0.55,11.275,47.7,8651,3,28.703
3383,E01003546,Newham 001C,,540377,185589,51.5517,0.023314,350a7a12-bc03-4ff4-8b7f-17637da4fc23,2618.680494,116185.7708,2618.680494,0.023314,58,184.2609765,0.28,0.72,29.36,47.7,6455,2,33.531
3387,E01003550,Newham 001D,,540300,185913,51.5547,0.022333,1c4199a5-8324-4e58-808c-813053ecf209,2455.695286,115734.5419,2455.695286,0.022333,82,80.83607988,0.11,0.89,41.445,47.7,9615,3,26.959
3413,E01003576,Newham 002A,,542934,185981,51.5546,0.060327,197dd817-dba0-4955-a9c0-080f12cb4f6a,3099.615087,149613.3477,3099.615087,0.060327,94,39.76040686,0.04,0.96,47.48,47.3,4849,2,38.074
3418,E01003581,Newham 002B,,542735,185695,51.5521,0.057343,0677f5c4-f130-4776-9275-294f96156959,1639.118912,101581.8062,1639.118912,0.057343,75,78.47842547,0.1,0.9,37.95,47.3,9714,3,26.783
3419,E01003582,Newham 002C,,543098,185587,51.551,0.062531,473d31f6-c96b-4963-a02b-d26d99771e85,1567.680582,85713.98265,1567.680582,0.062531,50,175.546708,0.26,0.74,25.37,47.3,7600,3,30.905
3420,E01003583,Newham 002D,,542961,185391,51.5493,0.060477,2ecc98b5-8a69-4828-b7e9-5cac3965001b,1830.764946,98123.37259,1830.764946,0.060477,79,69.5323709,0.09,0.91,39.955,47.3,8779,3,28.482
3415,E01003578,Newham 003A,,542324,186274,51.5574,0.051653,261f8f22-4ea4-4e9d-a72d-90f8850c02ac,4989.852426,828028.2005,4989.852426,0.051653,14,444.4110695,0.7,0.3,7.15,45.7,10059,4,26.188
3421,E01003584,Newham 003B,,541552,185627,51.5518,0.040265,b0289333-7115-4ebb-89a8-883d8f7b2cb5,3793.350765,332006.1664,3793.350765,0.040265,12,398.1474231,0.63,0.37,6.185,45.7,8266,3,29.49
3423,E01003586,Newham 003C,,541649,185146,51.5474,0.041469,8708ad30-d2c3-4dc7-807e-d71944fdce63,2054.965174,149160.4492,2054.965174,0.041469,62,106.6171434,0.15,0.85,31.425,45.7,8043,3,29.95
3427,E01003590,Newham 003D,,541939,185859,51.5538,0.045936,e4530e34-1b81-4508-a862-b1c49991c196,3944.953298,257712.0758,3944.953298,0.045936,67,65.30721321,0.08,0.92,33.96,45.7,4780,2,38.34
3416,E01003579,Newham 004A,,542654,185397,51.5494,0.056055,16f830a0-1187-4975-bac4-911c3a816dac,1968.638221,98302.28942,1968.638221,0.056055,47,205.2240013,0.31,0.69,23.845,49.5,8778,3,28.483
3422,E01003585,Newham 004B,,542396,185452,51.55,0.052359,fcdada16-a317-4b27-9405-b9de987cc641,1580.553693,72930.12492,1580.553693,0.052359,18,277.8548572,0.43,0.57,9.285,49.5,9049,3,27.968
3424,E01003587,Newham 004C,,542073,185263,51.5484,0.047627,a2c52491-da2c-4ec2-910d-c41fc727dac4,3325.452334,161177.65,3325.452334,0.047627,64,171.0548803,0.25,0.75,32.375,49.5,9006,3,28.048
3428,E01003591,Newham 004D,,542150,185588,51.5513,0.048868,3f60323c-3e87-4e67-b096-e4c7cbc9333e,2697.650088,164584.2449,2697.650088,0.048868,87,16.28833639,0,1,44,49.5,6209,2,34.139
3365,E01003528,Newham 005A,,542962,184844,51.5444,0.060269,4e5cd327-9295-4026-84c7-1aeeaf70aecf,1965.712803,79663.2829,1965.712803,0.060269,31,232.7511477,0.36,0.64,15.82,44.9,7853,3,30.372
3412,E01003575,Newham 005B,,542792,185153,51.5472,0.057945,83ee8c77-d264-4ac1-83f3-741e57201a3a,2284.17757,147304.52,2284.17757,0.057945,41,145.7952017,0.21,0.79,20.895,44.9,8100,3,29.833
3414,E01003577,Newham 005C,,543272,185919,51.554,0.065174,8d5577c8-b6b1-4c45-820e-d09f6f3f94c6,2459.354643,174715.6889,2459.354643,0.065174,22,277.7038104,0.43,0.57,11.285,44.9,4012,2,40.868
3417,E01003580,Newham 005D,,543316,185201,51.5475,0.065516,85beb7ee-a8a2-47a4-8ad0-ba95f89c6e02,2025.223577,223495.0629,2025.223577,0.065516,3.1,388.4818071,0.61,0.39,1.745,44.9,6741,3,32.832
3382,E01003545,Newham 006A,,539867,185291,51.5492,0.015845,c73a971e-4e67-4a5b-9251-c04c9f143e42,2766.380855,169655.9249,2766.380855,0.015845,42,202.4027907,0.31,0.69,21.345,53.7,9504,3,27.152
3385,E01003548,Newham 006B,,539429,185445,51.5507,0.009593,28ed12b1-fde2-42c1-9a77-577936c3a7c8,3152.822924,230068.4264,3152.822924,0.009593,26,344.7586879,0.54,0.46,13.23,53.7,12546,4,22.286
3386,E01003549,Newham 006C,,539569,185177,51.5482,0.011505,d1277b13-1267-4254-bac2-c420547ca945,2267.846897,118320.659,2267.846897,0.011505,66,138.0624538,0.2,0.8,33.4,53.7,10418,4,25.608
3394,E01003557,Newham 006D,,539956,185060,51.5471,0.017036,a945d5c2-149f-4a46-b97b-ef2c55a73a88,2852.2375,176312.037,2852.2375,0.017036,75,160.2374688,0.24,0.76,37.88,53.7,5271,2,36.797
