FID,LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,GlobalID,Shape_Leng,Shape__Are,Shape__Len,5min Bus Accessibility_LONG,Coverage_p,HubDist,Distance,NormDist,Accessibility Index,No Car or vans in household(%),IMD_Rank,IMD_Decile,IMDScore,IMDRank0,IMDDec0,IncScore,IncRank,IncDec,EmpScore,EmpRank,EmpDec,EduScore,EduRank,EduDec,HDDScore,HDDRank,HDDDec,CriScore,CriRank,CriDec,IMD_Shape__Area,IMD_Shape__Length
3380,E01003543,Newham 001A,,540727,185689,51.5526,0.028398,3c4015e5-b53b-468b-8e5e-7a0f7e47c00b,2423.886218,165618.6814,2423.886218,0.028398,38,218.400132,0.33,0.67,19.335,47.7,11912,4,23.221,11912,4,0.142,11312,4,0.08,16403,5,9.818,22024,7,-0.118,17857,6,0.1,15129,5,431529.3361,3679.004791
3381,E01003544,Newham 001B,,539998,185584,51.5518,0.017849,0f544968-717a-481e-aeab-101fd55d6eec,3592.260772,151732.9786,3592.260772,0.017849,22,291.3132106,0.45,0.55,11.275,47.7,8651,3,28.703,8651,3,0.134,12097,4,0.077,16912,6,20.971,13155,5,0.07,14947,5,0.744,6011,2,391738.2617,5394.145363
3383,E01003546,Newham 001C,,540377,185589,51.5517,0.023314,350a7a12-bc03-4ff4-8b7f-17637da4fc23,2618.680494,116185.7708,2618.680494,0.023314,58,184.2609765,0.28,0.72,29.36,47.7,6455,2,33.531,6455,2,0.202,6527,2,0.113,10574,4,17.723,15321,5,0.306,11543,4,0.875,4637,2,292469.6541,3813.717812
3387,E01003550,Newham 001D,,540300,185913,51.5547,0.022333,1c4199a5-8324-4e58-808c-813053ecf209,2455.695286,115734.5419,2455.695286,0.022333,82,80.83607988,0.11,0.89,41.445,47.7,9615,3,26.959,9615,3,0.169,8876,3,0.084,15415,5,15.365,17071,6,-0.292,20532,7,-0.094,18054,6,295425.661,3557.749606
3413,E01003576,Newham 002A,,542934,185981,51.5546,0.060327,197dd817-dba0-4955-a9c0-080f12cb4f6a,3099.615087,149613.3477,3099.615087,0.060327,94,39.76040686,0.04,0.96,47.48,47.3,4849,2,38.074,4849,2,0.228,5062,2,0.14,7501,3,25.343,10648,4,0.303,11586,4,0.882,4561,2,373376.2752,4592.34217
3418,E01003581,Newham 002B,,542735,185695,51.5521,0.057343,0677f5c4-f130-4776-9275-294f96156959,1639.118912,101581.8062,1639.118912,0.057343,75,78.47842547,0.1,0.9,37.95,47.3,9714,3,26.783,9714,3,0.147,10807,4,0.08,16445,6,24.742,10972,4,-0.445,22713,7,0.222,13158,5,265615.7309,2418.077594
3419,E01003582,Newham 002C,,543098,185587,51.551,0.062531,473d31f6-c96b-4963-a02b-d26d99771e85,1567.680582,85713.98265,1567.680582,0.062531,50,175.546708,0.26,0.74,25.37,47.3,7600,3,30.905,7600,3,0.197,6823,3,0.112,10721,4,26.742,9944,4,-0.198,19104,6,0.198,13537,5,217918.1052,2407.375532
3420,E01003583,Newham 002D,,542961,185391,51.5493,0.060477,2ecc98b5-8a69-4828-b7e9-5cac3965001b,1830.764946,98123.37259,1830.764946,0.060477,79,69.5323709,0.09,0.91,39.955,47.3,8779,3,28.482,8779,3,0.171,8742,3,0.089,14513,5,21.118,13067,4,0.023,15653,5,-0.003,16721,6,255807.9714,2803.085089
3415,E01003578,Newham 003A,,542324,186274,51.5574,0.051653,261f8f22-4ea4-4e9d-a72d-90f8850c02ac,4989.852426,828028.2005,4989.852426,0.051653,14,444.4110695,0.7,0.3,7.15,45.7,10059,4,26.188,10059,4,0.13,12550,4,0.057,22295,7,24.142,11271,4,-0.228,19540,6,0.497,9118,3,2137504.887,7596.211211
3421,E01003584,Newham 003B,,541552,185627,51.5518,0.040265,b0289333-7115-4ebb-89a8-883d8f7b2cb5,3793.350765,332006.1664,3793.350765,0.040265,12,398.1474231,0.63,0.37,6.185,45.7,8266,3,29.49,8266,3,0.181,7984,3,0.115,10339,4,12.468,19525,6,-0.05,16778,6,0.701,6502,2,844311.0948,6078.096
