FID,LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,GlobalID,LSOA21CD_1,RUC21CD,RUC21NM,Urban_rura,Shape_Leng,Shape__Are,Shape__Len,GlobalID_2,NormIMD,Tran_Dis,Tran_Dist,Form3_LSOA name (2011),Form3_Local Authority District name (2019),Form3_No Car or vans in household(%)
"3329",E01003488,Newham 019A,,"541709","183657",51.533999999999999,0.041735000000000,38b0cecb-efc9-40e6-a2fe-596ae596f7b8,E01003488,UN1,Urban: Nearer to a major town or city,Urban,2231.035640590000185,130102.755851745605469,2231.035640592134314,214b2ffd-c8ed-4e5c-a4e6-ec148099474b,0.82,0.00,1.00,Newham 019A,Newham,52
"3330",E01003489,Newham 019B,,"541447","183584",51.533499999999997,0.037931000000000,2d5fdbe5-3180-4339-b378-1d149c0cc330,E01003489,UN1,Urban: Nearer to a major town or city,Urban,1671.189108329999954,122658.613113403320312,1671.189108331358057,76b0bd98-d05c-4517-81d5-b9b5a0024d00,0.66,0.00,0.00,Newham 019B,Newham,52
"3332",E01003491,Newham 022A,,"541240","183621",51.533799999999999,0.034964000000000,01d15f4e-0143-4f90-b761-843ebff331f4,E01003491,UN1,Urban: Nearer to a major town or city,Urban,1871.747978269999976,103578.440383911132812,1871.747978274560182,99396643-d96c-483f-ad6c-37af48788532,0.53,0.00,0.00,Newham 022A,Newham,52.7
"3403",E01003566,Newham 014D,,"541316","183997",51.537199999999999,0.036209000000000,c35a7ce5-2cbb-4122-a324-e2880a80a97b,E01003566,UN1,Urban: Nearer to a major town or city,Urban,1672.800097719999940,97230.331901550292969,1672.800097721253906,32ffc6e1-6919-418e-86f6-5d4238182c8b,0.55,0.00,0.00,Newham 014D,Newham,48.3
"3406",E01003569,Newham 017B,,"541044","183980",51.537100000000002,0.032283000000000,d044b13d-20e7-4586-95fa-ed7dd5f08fab,E01003569,UN1,Urban: Nearer to a major town or city,Urban,1642.686383680000063,104757.970443725585938,1642.686383679686287,7ec360c6-b97f-4418-9461-3b693b022117,0.48,0.00,0.00,Newham 017B,Newham,47.2
"3442",E01003605,Newham 028C,,"541278","183062",51.528799999999997,0.035287000000000,1539a9c5-450e-43b9-b92b-3f98367325fd,E01003605,UN1,Urban: Nearer to a major town or city,Urban,2155.784567510000215,106143.016868591308594,2155.784567509164390,8008420a-d147-49c2-a86b-87953a5cc6b5,0.53,0.00,0.00,Newham 028C,Newham,47.1
"32240",E01034201,Newham 022E,,"541031","183220",51.530299999999997,0.031792000000000,e6142eb9-869e-4f60-abaf-6887b9ac602d,E01034201,UN1,Urban: Nearer to a major town or city,Urban,1835.185496800000010,70129.084083557128906,1835.185496800339934,8c2745bc-8fba-4280-81ae-904d66c8d2c0,,,,Newham 022E,Newham,52.7
"32242",E01034203,Newham 025E,,"541612","183341",51.531199999999998,0.040211000000000,aa503ab2-7461-4b00-ab21-49311656ea59,E01034203,UN1,Urban: Nearer to a major town or city,Urban,1319.036024320000024,47395.577003479003906,1319.036024319041644,35876e48-2cd3-43ac-89c2-8ab7f582efe0,,,,Newham 025E,Newham,41.9
"3333",E01003492,Newham 025A,,"541747","183067",51.528700000000001,0.042045000000000,be399d8c-645a-428d-a0f2-8c84df951e57,E01003492,UN1,Urban: Nearer to a major town or city,Urban,1961.647500459999947,94042.062957763671875,1961.647500458917193,b19d01cb-662a-4724-8970-1bb3ad68b039,0.41,0.00,0.00,Newham 025A,Newham,41.9
"3405",E01003568,Newham 017A,,"540862","183816",51.535699999999999,0.029595000000000,ccfc64fc-7534-46d8-aae8-e9385ed21849,E01003568,UN1,Urban: Nearer to a major town or city,Urban,1608.013804519999894,109774.634887695312500,1608.013804524610350,ef5d572e-099d-4801-a29f-84ad7fd4e9e8,0.39,0.00,0.00,Newham 017A,Newham,47.2
"3436",E01003599,Newham 022C,,"541005","183475",51.532600000000002,0.031519000000000,5c5f341c-ceaf-464e-bbe2-2e2b7405943a,E01003599,UN1,Urban: Nearer to a major town or city,Urban,2005.001421819999905,133974.630004882812500,2005.001421818546532,954d1cf5-407c-498b-bbc9-a861dfddd40f,0.57,0.00,1.00,Newham 022C,Newham,52.7
"3334",E01003494,Newham 025C,,"541699","182800",51.526299999999999,0.041247000000000,dd991fa8-7dc4-4567-a6b9-a319c1bf60d1,E01003494,UN1,Urban: Nearer to a major town or city,Urban,2054.601270719999775,105741.898422241210938,2054.601270716030740,4f39606b-ef4b-46a2-a443-dd7120e44541,0.32,0.00,0.00,Newham 025C,Newham,41.9
"3335",E01003495,Newham 025D,,"542018","182841",51.526600000000002,0.045858000000000,71d80515-2133-4190-8a81-378233102d50,E01003495,UN1,Urban: Nearer to a major town or city,Urban,1681.731201809999902,118728.242652893066406,1681.731201807007437,1fc71bf4-6ac3-4090-9088-3fa0735173bd,0.23,0.00,0.00,Newham 025D,Newham,41.9
"3364",E01003527,Newham 024B,,"542432","183056",51.528500000000001,0.051909000000000,56e06971-859b-4b47-a9ac-7c8ea616d8fe,E01003527,UN1,Urban: Nearer to a major town or city,Urban,1870.494850080000106,164340.782432556152344,1870.494850081977575,90a238a6-d104-4a59-b6c9-87d7f15ffff8,0.28,1.00,0.00,Newham 024B,Newham,41.9
"3374",E01003537,Newham 024C,,"542461","182728",51.525500000000001,0.052194000000000,3fa0cc11-4414-4bb6-9b9f-46cf68ffe1fc,E01003537,UN1,Urban: Nearer to a major town or city,Urban,2650.136319379999804,193919.296562194795115,2650.136319381923386,0eb6b7b7-07e2-4854-b4e0-47cbb4d3d3f6,0.42,1.00,0.00,Newham 024C,Newham,41.9
"3376",E01003539,Newham 029B,,"541831","182379",51.522500000000001,0.042979000000000,efec0c32-bc11-490a-b529-615b7104c655,E01003539,UN1,Urban: Nearer to a major town or city,Urban,3092.573014059999878,248369.404869079589844,3092.573014063815663,9b46d6ec-836a-40b3-9466-fa0ceb57b657,0.47,0.00,0.00,Newham 029B,Newham,40.6
"32243",E01034204,Newham 025F,,"541941","183202",51.529899999999998,0.044894000000000,609916f3-3eed-490f-b226-98864b719fcf,E01034204,UN1,Urban: Nearer to a major town or city,Urban,1466.983303279999973,93534.629386901840917,1466.983303275455228,1e8d1328-116f-46cf-8895-dfa95cd258dc,,,,Newham 025F,Newham,41.9
"3336",E01003496,Newham 027A,,"539439","182881",51.527600000000000,0.008723000000000,be225b8c-7eee-486c-b5d8-c110003078a9,E01003496,UN1,Urban: Nearer to a major town or city,Urban,1895.383321880000040,189437.641914367675781,1895.383321875910724,60ea8472-933c-4ca4-bb1b-3daa3c46d900,0.50,0.00,0.00,Newham 027A,Newham,54.5
"3338",E01003498,Newham 027B,,"539913","182682",51.525700000000001,0.015472000000000,e452dd50-d05d-4836-9bb9-55ff72aa423e,E01003498,UN1,Urban: Nearer to a major town or city,Urban,3222.218105989999913,233096.328720092744334,3222.218105993221343,06f66d5e-7e60-448f-8de2-14405c2aa76a,0.62,0.00,0.00,Newham 027B,Newham,54.5
"3340",E01003500,Newham 027C,,"539039","182529",51.524600000000000,0.002821000000000,ceed940e-0235-43be-9f78-70df3b15176b,E01003500,UN1,Urban: Nearer to a major town or city,Urban,5801.504342449999967,741747.092254638788290,5801.504342446005467,8bfb5ab0-7f7c-4ebf-89c8-49de3c80aa83,0.65,0.00,0.00,Newham 027C,Newham,54.5
"3430",E01003593,Newham 027D,,"539917","183105",51.529499999999999,0.015697000000000,78cb3e1b-e062-40b0-b3e2-56dcfac67a74,E01003593,UN1,Urban: Nearer to a major town or city,Urban,1425.846510459999990,108849.651931762680761,1425.846510461310572,acacf367-4fab-464a-a8b7-0ae9f113fcf4,0.61,0.00,0.00,Newham 027D,Newham,54.5
"3460",E01003631,Newham 020A,,"539338","183215",51.530700000000003,0.007400000000000,00a58efb-bc56-4593-a890-142a3fa97be0,E01003631,UN1,Urban: Nearer to a major town or city,Urban,2302.268563000000086,165621.417396545410156,2302.268562996168384,4b34a025-91a6-4efc-89eb-8409b8565ff5,0.47,0.00,0.00,Newham 020A,Newham,53
"3461",E01003632,Newham 020B,,"539688","183337",51.531700000000001,0.012490000000000,12162e5c-a629-4d93-b5d6-efc8676357e3,E01003632,UN1,Urban: Nearer to a major town or city,Urban,1965.293203219999896,136922.891090393066406,1965.293203218256167,6fa3e84d-716e-4372-94fd-8abae88efc7b,0.31,0.00,0.00,Newham 020B,Newham,53
"3344",E01003506,Newham 034D,,"540406","181014",51.510599999999997,0.021910000000000,8fc1e332-1080-4f6f-b942-5f5bc1836947,E01003506,UN1,Urban: Nearer to a major town or city,Urban,1700.261999909999759,106292.641082763671875,1700.261999912857391,b403df80-f628-48b3-ad41-0f97018b902b,0.94,0.00,0.00,Newham 034D,Newham,63.1
"3352",E01003515,Newham 036D,,"541249","180905",51.509399999999999,0.034006000000000,2a2886cf-d7bd-4295-a82f-363e25684f57,E01003515,UN1,Urban: Nearer to a major town or city,Urban,6195.620921499999895,745939.042930603027344,6195.620921503136742,b8a76c10-4e5c-4885-b8b2-ecc588ac6bc5,1.00,0.00,0.00,Newham 036D,Newham,48.1
"3354",E01003517,Newham 036E,,"540702","181629",51.516100000000002,0.026417000000000,800a3b8b-e30b-438e-9937-bedf56188a03,E01003517,UN1,Urban: Nearer to a major town or city,Urban,3713.241066059999866,274535.284873962402344,3713.241066057432363,1057ff75-47e9-402e-9e1b-c3deb4d98809,0.97,0.00,0.00,Newham 036E,Newham,48.1
"31673",E01033584,Newham 034I,,"540063","181147",51.511899999999997,0.017023000000000,d3b6adff-bf75-4c06-a426-f91feb713a69,E01033584,UN1,Urban: Nearer to a major town or city,Urban,2558.205231829999775,150662.107421875000000,2558.205231829991590,0108a325-fd89-4690-84ad-249593195d6c,0.84,0.00,0.00,Newham 034I,Newham,63.1
"32249",E01034210,Newham 034L,,"539891","180958",51.510199999999998,0.014471000000000,56aac99c-d690-4b70-8010-d5052a730881,E01034210,UN1,Urban: Nearer to a major town or city,Urban,2083.349438950000149,97068.443061828613281,2083.349438946969713,48b4db04-c7d0-4a7a-9749-e511b885c493,,,,Newham 034L,Newham,63.1
"32251",E01034212,Newham 034N,,"540285","180688",51.507700000000000,0.020037000000000,fdbff5a5-8d0a-4cf8-afb5-981f5659f9cb,E01034212,UN1,Urban: Nearer to a major town or city,Urban,2603.173773540000184,288258.528137207031250,2603.173773539837839,861af7ed-d273-4b57-882e-0bb26ba857a6,,,,Newham 034N,Newham,63.1
"3341",E01003501,Newham 030B,,"539873","182282",51.522100000000002,0.014737000000000,566adb54-0e67-47f9-baa8-9d25805cb98d,E01003501,UN1,Urban: Nearer to a major town or city,Urban,2752.782171910000216,158394.866096496582031,2752.782171913795082,cd1b44ef-d677-41fc-a196-ffa9e41e9fde,0.70,0.00,0.00,Newham 030B,Newham,58.7
"3345",E01003507,Newham 031A,,"540551","182118",51.520499999999998,0.024438000000000,c0ffff66-48f9-4806-b4d3-cad532124a34,E01003507,UN1,Urban: Nearer to a major town or city,Urban,2430.314866270000039,142061.239929199218750,2430.314866272500694,015e40e2-88c7-4885-b243-ad6c150db3f0,0.65,0.00,0.00,Newham 031A,Newham,53.3
