LSOA code,local authority name,local authority code,All usual residents,White British,White Irish,White Gypsy/Irish Traveller,White Roma,White Other,Mixed White and Asian,Mixed White and Black African,Mixed White and Black Caribbean,Mixed Other,Asian Bangladeshi,Asian Chinese,Asian Indian,Asian Pakistani,Asian Other,Black African,Black Caribbean,Black Other,Other Arab,Other Any other,White British%,White%,Asian%,Black%
E01003479,Newham,E09000025,1536,405,2,2,13,516,11,19,34,21,57,31,38,42,40,150,63,25,7,60,26.37,61.07,13.54,15.49
E01003480,Newham,E09000025,2014,555,15,0,15,451,12,17,28,26,174,50,111,122,45,207,79,18,31,58,27.56,51.44,24.93,15.09
E01003481,Newham,E09000025,1472,364,8,0,12,355,13,17,18,27,147,35,55,70,32,180,53,24,18,44,24.73,50.2,23.03,17.46
E01003483,Newham,E09000025,1650,320,6,0,3,232,10,20,35,18,199,80,97,155,80,202,87,28,27,51,19.39,34,37.03,19.21
E01003484,Newham,E09000025,1799,320,14,1,8,664,19,20,10,28,92,74,56,150,53,143,44,15,10,78,17.79,55.98,23.62,11.23
E01003485,Newham,E09000025,1698,282,15,2,11,571,17,22,8,34,147,57,75,54,47,193,51,24,18,70,16.61,51.88,22.38,15.78
E01003486,Newham,E09000025,1209,273,4,0,11,74,18,14,27,21,201,13,46,64,32,246,82,33,8,42,22.58,29.94,29.45,29.86
E01003487,Newham,E09000025,1347,298,6,0,2,119,9,16,29,24,256,11,33,84,43,228,86,31,33,39,22.12,31.55,31.7,25.61
E01003488,Newham,E09000025,1978,244,7,0,0,128,14,10,36,44,460,5,185,193,57,256,107,43,24,165,12.34,19.16,45.5,20.53
E01003489,Newham,E09000025,3000,308,14,0,20,230,23,23,24,44,696,49,324,244,138,559,58,49,28,169,10.27,19.07,48.37,22.2
E01003490,Newham,E09000025,1994,161,6,6,55,172,14,6,6,17,376,7,357,366,132,111,56,59,11,76,8.07,20.06,62.09,11.33
E01003491,Newham,E09000025,1980,95,7,0,6,184,15,4,13,28,511,14,357,362,123,115,54,30,5,57,4.8,14.75,69.04,10.05
E01003492,Newham,E09000025,2035,166,10,1,16,234,26,18,14,27,424,2,253,432,115,141,35,39,2,80,8.16,20.98,60.25,10.57
E01003494,Newham,E09000025,2115,266,15,2,7,356,25,32,19,24,358,10,203,263,140,145,97,36,11,106,12.58,30.54,46.05,13.14
E01003495,Newham,E09000025,2079,420,14,0,9,282,26,11,14,42,348,14,155,273,144,131,87,20,14,75,20.2,34.87,44.93,11.45
E01003496,Newham,E09000025,1344,185,5,1,8,210,8,26,14,29,192,31,53,25,62,286,94,45,8,62,13.76,30.43,27.01,31.62
E01003497,Newham,E09000025,1650,527,9,4,17,235,8,10,26,35,151,28,54,42,37,233,80,46,36,72,31.94,48,18.91,21.76
E01003498,Newham,E09000025,1877,384,18,0,7,279,9,38,72,58,218,26,70,68,64,280,134,42,23,87,20.46,36.65,23.76,24.29
E01003499,Newham,E09000025,2373,482,7,0,6,268,17,46,32,72,402,18,80,105,106,424,103,59,56,90,20.31,32.15,29.96,24.69
E01003500,Newham,E09000025,2054,484,6,0,18,377,19,27,31,26,187,22,71,41,124,361,96,61,29,74,23.56,43.09,21.67,25.22
E01003501,Newham,E09000025,2348,426,4,0,18,337,25,35,27,52,331,77,54,120,117,417,109,69,30,100,18.14,33.43,29.77,25.34
E01003502,Newham,E09000025,2682,369,9,0,19,475,17,27,42,48,291,58,72,80,119,785,86,68,30,87,13.76,32.51,23.12,35.01
E01003503,Newham,E09000025,2890,537,22,0,17,541,22,37,32,37,268,125,121,96,108,538,138,88,27,136,18.58,38.65,24.84,26.44
E01003506,Newham,E09000025,1423,334,2,0,10,195,8,34,32,19,133,42,48,18,38,343,51,40,25,51,23.47,38.02,19.61,30.5
E01003507,Newham,E09000025,2261,449,7,6,19,382,25,15,34,21,347,39,82,100,94,387,75,43,24,112,19.86,38.17,29.28,22.34
E01003508,Newham,E09000025,2562,561,17,1,25,558,29,40,57,52,262,65,97,62,82,368,102,59,17,108,21.9,45.36,22.17,20.65
E01003509,Newham,E09000025,2062,735,20,2,12,399,15,17,52,42,222,6,42,35,40,246,46,27,21,83,35.65,56.64,16.73,15.47
E01003511,Newham,E09000025,1912,438,8,1,24,295,24,38,27,36,171,51,49,38,47,405,107,60,32,61,22.91,40.06,18.62,29.92
E01003512,Newham,E09000025,1981,498,1,9,28,388,14,25,27,28,148,37,44,46,59,383,86,74,9,77,25.14,46.64,16.86,27.41
E01003513,Newham,E09000025,1564,301,10,0,29,515,19,26,23,16,118,48,39,19,45,213,60,21,5,57,19.25,54.67,17.2,18.8
E01003514,Newham,E09000025,1662,436,20,11,6,288,13,28,41,32,116,19,21,29,39,364,55,79,18,47,26.23,45.79,13.48,29.96
E01003515,Newham,E09000025,2115,426,12,5,69,326,19,26,58,50,177,22,65,46,53,478,126,71,12,74,20.14,39.62,17.16,31.91
E01003516,Newham,E09000025,1882,408,9,2,1,256,20,31,23,40,197,17,75,51,49,477,98,63,8,57,21.68,35.92,20.67,33.9
E01003517,Newham,E09000025,1880,471,15,0,7,191,3,30,41,30,196,22,36,49,65,498,88,61,19,58,25.05,36.38,19.57,34.41
E01003518,Newham,E09000025,1637,338,10,3,18,460,19,14,26,17,112,84,57,32,71,201,49,52,12,62,20.65,50.64,21.75,18.45
E01003519,Newham,E09000025,1612,263,2,1,9,437,9,14,19,15,164,34,80,40,70,283,55,53,5,59,16.32,44.17,24.07,24.26
