FID,LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,GlobalID,LSOA21CD_1,RUC21CD,RUC21NM,Urban_rura,Shape_Leng,Shape__Are,Shape__Len,GlobalID_2,Form1-2_FID,Form1-2_lsoa11nm,Form1-2_lsoa11nmw,Form1-2_st_areasha,Form1-2_st_lengths,Form1-2_IMD_Rank,Form1-2_IMD_Decile,Form1-2_LSOA01NM,Form1-2_LADcd,Form1-2_LADnm,Form1-2_IMDScore,Form1-2_IMDRank0,Form1-2_IMDDec0,Form1-2_IncScore,Form1-2_IncRank,Form1-2_IncDec,Form1-2_EmpScore,Form1-2_EmpRank,Form1-2_EmpDec,Form1-2_EduScore,Form1-2_EduRank,Form1-2_EduDec,Form1-2_HDDScore,Form1-2_HDDRank,Form1-2_HDDDec,Form1-2_CriScore,Form1-2_CriRank,Form1-2_CriDec,Form1-2_BHSScore,Form1-2_BHSRank,Form1-2_BHSDec,Form1-2_EnvScore,Form1-2_EnvRank,Form1-2_EnvDec,Form1-2_IDCScore,Form1-2_IDCRank,Form1-2_IDCDec,Form1-2_IDOScore,Form1-2_IDORank,Form1-2_IDODec,Form1-2_CYPScore,Form1-2_CYPRank,Form1-2_CYPDec,Form1-2_ASScore,Form1-2_ASRank,Form1-2_ASDec,Form1-2_GBScore,Form1-2_GBRank,Form1-2_GBDec,Form1-2_WBScore,Form1-2_WBRank,Form1-2_WBDec,Form1-2_IndScore,Form1-2_IndRank,Form1-2_IndDec,Form1-2_OutScore,Form1-2_OutRank,Form1-2_OutDec,Form1-2_TotPop,Form1-2_DepChi,Form1-2_Pop16_59,Form1-2_Pop60_,Form1-2_WorkPop,Form1-2_Shape__Area,Form1-2_Shape__Length
"3329",E01003488,Newham 019A,,"541709","183657",51.533999999999999,0.041735000000000,38b0cecb-efc9-40e6-a2fe-596ae596f7b8,E01003488,UN1,Urban: Nearer to a major town or city,Urban,2231.035640590000185,130102.755851745605469,2231.035640592134314,214b2ffd-c8ed-4e5c-a4e6-ec148099474b,"3427",Newham 019A,Newham 019A,128285.2046,2145.951766,"4059","2",Newham 019A,E09000025,Newham,40.69,"4059","2",0.268,"3282","1",0.177,"4510","2",24.699,"10990","4",0.347,"11012","4",0.646,"7121","3",49.498,"393",true,21.35,"14292","5",0.287,"4987","2",0.415,"1593","1",-0.348,"21696","7",0.422,"5413","2",-0.792,"27882","9",6.614,"99",true,-0.925,"28418","9",1.328,"2304","1","1987","480","1241","266",1216,331116.2667,3448.247967
"3330",E01003489,Newham 019B,,"541447","183584",51.533499999999997,0.037931000000000,2d5fdbe5-3180-4339-b378-1d149c0cc330,E01003489,UN1,Urban: Nearer to a major town or city,Urban,1671.189108329999954,122658.613113403320312,1671.189108331358057,76b0bd98-d05c-4517-81d5-b9b5a0024d00,"3428",Newham 019B,Newham 019B,122210.3504,1619.458639,"6119","2",Newham 019B,E09000025,Newham,34.363,"6119","2",0.236,"4705","2",0.118,"9926","4",21.799,"12670","4",0.009,"15872","5",0.577,"8032","3",50.876,"224",true,25.56,"11437","4",0.232,"7946","3",0.472,"861","1",-0.315,"21196","7",0.393,"7262","3",-0.943,"29365","9",6.995,"16",true,-0.834,"27637","9",1.624,"1238","1","1824","497","1099","228",1071.25,315435.0971,2602.807018
"3332",E01003491,Newham 022A,,"541240","183621",51.533799999999999,0.034964000000000,01d15f4e-0143-4f90-b761-843ebff331f4,E01003491,UN1,Urban: Nearer to a major town or city,Urban,1871.747978269999976,103578.440383911132812,1871.747978274560182,99396643-d96c-483f-ad6c-37af48788532,"3430",Newham 022A,Newham 022A,103034.5096,1796.294891,"8256","3",Newham 022A,E09000025,Newham,29.506,"8256","3",0.186,"7609","3",0.083,"15663","5",14.984,"17368","6",-0.43,"22509","7",0.547,"8439","3",47.616,"612",true,45.903,"2696","1",0.187,"10962","4",0.507,"599","1",-0.3,"20958","7",0.322,"13637","5",-2.072,"32790","10",6.598,"101",true,0.598,"7959","3",1.752,"885","1","2209","378","1470","361",1452,265930.8052,2886.869727
"3403",E01003566,Newham 014D,,"541316","183997",51.537199999999999,0.036209000000000,c35a7ce5-2cbb-4122-a324-e2880a80a97b,E01003566,UN1,Urban: Nearer to a major town or city,Urban,1672.800097719999940,97230.331901550292969,1672.800097721253906,32ffc6e1-6919-418e-86f6-5d4238182c8b,"3503",Newham 014D,Newham 014D,99098.62469,1584.197524,"7833","3",Newham 014D,E09000025,Newham,30.414,"7833","3",0.158,"9823","3",0.094,"13612","5",19.2,"14259","5",-0.093,"17457","6",0.846,"4929","2",49.919,"333",true,34.787,"6336","2",0.149,"14169","5",0.393,"2021","1",-0.386,"22254","7",0.373,"8763","3",-1.805,"32620","10",7.107,"7",true,-0.021,"16804","6",1.744,"898","1","1851","485","1191","175",1178.5,255822.3032,2545.451096
"3406",E01003569,Newham 017B,,"541044","183980",51.537100000000002,0.032283000000000,d044b13d-20e7-4586-95fa-ed7dd5f08fab,E01003569,UN1,Urban: Nearer to a major town or city,Urban,1642.686383680000063,104757.970443725585938,1642.686383679686287,7ec360c6-b97f-4418-9461-3b693b022117,"3506",Newham 017B,Newham 017B,104339.4127,1559.709929,"9189","3",Newham 017B,E09000025,Newham,27.715,"9189","3",0.162,"9472","3",0.076,"17127","6",15.008,"17353","6",-0.316,"20902","7",0.846,"4922","2",50.267,"290",true,29.686,"8997","3",0.178,"11710","4",0.45,"1081","1",-0.593,"25149","8",0.344,"11308","4",-1.402,"31856","10",7.329,"4",true,-0.635,"25582","8",1.827,"704","1","1959","372","1343","244",1321.25,269346.6311,2506.515855
"3442",E01003605,Newham 028C,,"541278","183062",51.528799999999997,0.035287000000000,1539a9c5-450e-43b9-b92b-3f98367325fd,E01003605,UN1,Urban: Nearer to a major town or city,Urban,2155.784567510000215,106143.016868591308594,2155.784567509164390,8008420a-d147-49c2-a86b-87953a5cc6b5,"3557",Newham 028C,Newham 028C,106591.9719,2064.016342,"8278","3",Newham 028C,E09000025,Newham,29.461,"8278","3",0.169,"8848","3",0.104,"11850","4",22.402,"12296","4",-0.33,"21128","7",0.182,"13814","5",48.543,"508",true,38.208,"4918","2",0.179,"11567","4",0.357,"2855","1",-0.253,"20257","7",0.394,"7201","3",-1.731,"32517","10",6.745,"64",true,0.362,"11036","4",1.541,"1490","1","2371","557","1547","267",1542,275061.5746,3316.20034
"32240",E01034201,Newham 022E,,"541031","183220",51.530299999999997,0.031792000000000,e6142eb9-869e-4f60-abaf-6887b9ac602d,E01034201,UN1,Urban: Nearer to a major town or city,Urban,1835.185496800000010,70129.084083557128906,1835.185496800339934,8c2745bc-8fba-4280-81ae-904d66c8d2c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32242",E01034203,Newham 025E,,"541612","183341",51.531199999999998,0.040211000000000,aa503ab2-7461-4b00-ab21-49311656ea59,E01034203,UN1,Urban: Nearer to a major town or city,Urban,1319.036024320000024,47395.577003479003906,1319.036024319041644,35876e48-2cd3-43ac-89c2-8ab7f582efe0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3333",E01003492,Newham 025A,,"541747","183067",51.528700000000001,0.042045000000000,be399d8c-645a-428d-a0f2-8c84df951e57,E01003492,UN1,Urban: Nearer to a major town or city,Urban,1961.647500459999947,94042.062957763671875,1961.647500458917193,b19d01cb-662a-4724-8970-1bb3ad68b039,"3431",Newham 025A,Newham 025A,97056.26461,1893.145344,"10800","4",Newham 025A,E09000025,Newham,24.941,"10800","4",0.114,"14389","5",0.059,"21656","7",21.226,"13008","4",-0.144,"18298","6",0.336,"11389","4",46.709,"770",true,43.686,"3247","1",0.113,"17803","6",0.284,"5332","2",-0.044,"16796","6",0.362,"9720","3",-1.218,"31116","10",6.376,"175",true,0.715,"6621","3",1.385,"2055","1","2199","571","1393","235",1366.25,250456.8112,3040.831996
"3405",E01003568,Newham 017A,,"540862","183816",51.535699999999999,0.029595000000000,ccfc64fc-7534-46d8-aae8-e9385ed21849,E01003568,UN1,Urban: Nearer to a major town or city,Urban,1608.013804519999894,109774.634887695312500,1608.013804524610350,ef5d572e-099d-4801-a29f-84ad7fd4e9e8,"3505",Newham 017A,Newham 017A,108346.0966,1533.35568,"11361","4",Newham 017A,E09000025,Newham,24.045,"11361","4",0.139,"11601","4",0.081,"16157","5",12.708,"19307","6",-0.06,"16944","6",0.079,"15430","5",47.572,"619",true,28.559,"9637","3",0.118,"17275","6",0.393,"2023","1",-0.777,"27377","9",0.33,"12758","4",-1.026,"29994","10",6.439,"152",true,0.095,"14971","5",1.131,"3316","2","2367","487","1593","287",1549.25,279670.4391,2463.300763
