FID,lsoa11cd,lsoa11nm,lsoa11nmw,st_areasha,st_lengths,IMD_Rank,IMD_Decile,LSOA01NM,LADcd,LADnm,IMDScore,IMDRank0,IMDDec0,IncScore,IncRank,IncDec,EmpScore,EmpRank,EmpDec,EduScore,EduRank,EduDec,HDDScore,HDDRank,HDDDec,CriScore,CriRank,CriDec,BHSScore,BHSRank,BHSDec,EnvScore,EnvRank,EnvDec,IDCScore,IDCRank,IDCDec,IDOScore,IDORank,IDODec,CYPScore,CYPRank,CYPDec,ASScore,ASRank,ASDec,GBScore,GBRank,GBDec,WBScore,WBRank,WBDec,IndScore,IndRank,IndDec,OutScore,OutRank,OutDec,TotPop,DepChi,Pop16_59,Pop60_,WorkPop,Shape__Area,Shape__Length
3418,E01003479,Newham 035A,Newham 035A,299116.9073,2907.167596,7984,3,Newham 035A,E09000025,Newham,30.088,7984,3,0.156,9917,4,0.112,10776,4,14.178,18005,6,-0.493,23339,8,0.946,3975,2,63.896,6,1,23.094,13062,4,0.174,11963,4,0.277,5615,2,-0.236,19983,7,0.306,15379,5,0.649,6324,2,6.284,204,1,-0.081,17743,6,0.872,5057,2,1577,397,1040,140,1030.5,771308.9338,4668.242428
3419,E01003480,Newham 033A,Newham 033A,288479.3362,2883.485605,11375,4,Newham 033A,E09000025,Newham,24.019,11375,4,0.129,12609,4,0.071,18475,6,22.099,12477,4,-0.337,21237,7,0.104,15069,5,52.989,108,1,19.083,15975,5,0.162,12931,4,0.384,2210,1,0.116,14210,5,0.351,10640,4,-0.03,16167,5,6.201,236,1,-1.115,29824,10,1.206,2911,1,2296,373,1715,208,1685.5,743810.4027,4629.782688
3420,E01003481,Newham 035B,Newham 035B,521614.638,4861.684472,8693,3,Newham 035B,E09000025,Newham,28.627,8693,3,0.157,9860,4,0.108,11301,4,19.381,14157,5,0.321,11323,4,-0.316,21272,7,64.159,5,1,15.493,18813,6,0.134,15570,5,0.43,1355,1,-0.476,23579,8,0.381,8120,3,0.672,6130,2,6.267,208,1,-0.866,27923,9,0.8,5645,2,1558,341,1033,184,1048,1345002.013,7803.264113
3421,E01003482,Newham 033B,Newham 033B,3591481.153,10327.90385,9464,3,Newham 033B,E09000025,Newham,27.209,9464,3,0.109,15103,5,0.061,21217,7,14.298,17901,6,-0.06,16938,6,0.489,9223,3,57.969,23,1,47.623,2323,1,0.145,14539,5,0.488,741,1,0.052,15208,5,0.265,19992,7,0.232,11784,4,6.428,157,1,0.933,4400,2,1.24,2739,1,3092,666,2292,134,2245,9263283.055,16582.72622
3422,E01003483,Newham 032A,Newham 032A,244585.2085,3465.333137,5149,2,Newham 032A,E09000025,Newham,37.192,5149,2,0.237,4675,2,0.143,7182,3,24.626,11036,4,0.219,12792,4,0.669,6860,3,57.766,25,1,16.33,18114,6,0.246,7135,3,0.529,470,1,-0.108,17873,6,0.402,6678,3,0.131,13419,5,6.628,97,1,-1.382,31120,10,1.023,3969,2,1596,370,1062,164,1052.5,630871.3173,5563.779195
3423,E01003484,Newham 032B,Newham 032B,99740.40035,1969.330666,12241,4,Newham 032B,E09000025,Newham,22.723,12241,4,0.151,10428,4,0.068,19326,6,12.473,19519,6,-0.158,18510,6,0.067,15627,5,48.69,485,1,20.374,14998,5,0.223,8509,3,0.347,3110,1,-0.155,18686,6,0.273,19150,6,-0.79,27855,9,6.484,138,1,-0.595,25108,8,1.095,3532,2,1717,410,1193,114,1168.5,257256.7641,3162.656449
3424,E01003485,Newham 035C,Newham 035C,152549.2462,3159.771804,11327,4,Newham 035C,E09000025,Newham,24.091,11327,4,0.129,12691,4,0.068,19254,6,14.777,17529,6,-0.102,17606,6,0.706,6449,2,49.321,412,1,18.997,16043,5,0.16,13121,4,0.32,3935,2,-0.39,22311,7,0.327,13041,4,-0.264,20313,7,6.032,303,1,-0.864,27897,9,1.112,3424,2,1639,366,1095,178,1079.25,393423.8058,5075.304742
3425,E01003486,Newham 033C,Newham 033C,219083.147,3437.374085,2519,1,Newham 033C,E09000025,Newham,47.765,2519,1,0.294,2412,1,0.206,2853,1,27.832,9468,3,0.641,7486,3,1.199,2237,1,48.623,495,1,21.49,14197,5,0.293,4697,2,0.514,560,1,-0.031,16603,6,0.424,5350,2,-0.543,24699,8,6.259,213,1,-1.113,29804,10,1.393,2014,1,1262,245,809,208,797.25,565003.4055,5518.05519
3426,E01003487,Newham 033D,Newham 033D,124560.3756,2129.869714,3338,2,Newham 033D,E09000025,Newham,43.594,3338,2,0.298,2261,1,0.201,3074,1,29.007,8968,3,0.653,7361,3,0.101,15118,5,48.236,545,1,17.039,17558,6,0.314,3842,2,0.6,217,1,-0.092,17596,6,0.44,4501,2,-0.652,26266,8,6.314,196,1,-1.101,29743,10,1.026,3955,2,1340,307,902,131,881,321220.2296,3418.431874
3427,E01003488,Newham 019A,Newham 019A,128285.2046,2145.951766,4059,2,Newham 019A,E09000025,Newham,40.69,4059,2,0.268,3282,1,0.177,4510,2,24.699,10990,4,0.347,11012,4,0.646,7121,3,49.498,393,1,21.35,14292,5,0.287,4987,2,0.415,1593,1,-0.348,21696,7,0.422,5413,2,-0.792,27882,9,6.614,99,1,-0.925,28418,9,1.328,2304,1,1987,480,1241,266,1216,331116.2667,3448.247967
