LSOA code (2011),LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Rank (where 1 is most deprived),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Rank (where 1 is most deprived),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Rank (where 1 is most deprived),Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Rank (where 1 is most deprived),Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs)
E01003479,Newham 035A,E09000025,Newham,"7,984",3,"9,917",4,"10,776",4,"18,005",6,"23,339",8,"3,975",2,6,1,"13,062",4
E01003480,Newham 033A,E09000025,Newham,"11,375",4,"12,609",4,"18,475",6,"12,477",4,"21,237",7,"15,069",5,108,1,"15,975",5
E01003481,Newham 035B,E09000025,Newham,"8,693",3,"9,860",4,"11,301",4,"14,157",5,"11,323",4,"21,272",7,5,1,"18,813",6
E01003482,Newham 033B,E09000025,Newham,"9,464",3,"15,103",5,"21,217",7,"17,901",6,"16,938",6,"9,223",3,23,1,"2,323",1
E01003483,Newham 032A,E09000025,Newham,"5,149",2,"4,675",2,"7,182",3,"11,036",4,"12,792",4,"6,860",3,25,1,"18,114",6
E01003484,Newham 032B,E09000025,Newham,"12,241",4,"10,428",4,"19,326",6,"19,519",6,"18,510",6,"15,627",5,485,1,"14,998",5
E01003485,Newham 035C,E09000025,Newham,"11,327",4,"12,691",4,"19,254",6,"17,529",6,"17,606",6,"6,449",2,412,1,"16,043",5
E01003486,Newham 033C,E09000025,Newham,"2,519",1,"2,412",1,"2,853",1,"9,468",3,"7,486",3,"2,237",1,495,1,"14,197",5
E01003487,Newham 033D,E09000025,Newham,"3,338",2,"2,261",1,"3,074",1,"8,968",3,"7,361",3,"15,118",5,545,1,"17,558",6
E01003488,Newham 019A,E09000025,Newham,"4,059",2,"3,282",1,"4,510",2,"10,990",4,"11,012",4,"7,121",3,393,1,"14,292",5
E01003489,Newham 019B,E09000025,Newham,"6,119",2,"4,705",2,"9,926",4,"12,670",4,"15,872",5,"8,032",3,224,1,"11,437",4
E01003490,Newham 019C,E09000025,Newham,"7,543",3,"5,991",2,"13,702",5,"11,710",4,"17,065",6,"12,079",4,350,1,"8,468",3
E01003491,Newham 022A,E09000025,Newham,"8,256",3,"7,609",3,"15,663",5,"17,368",6,"22,509",7,"8,439",3,612,1,"2,696",1
E01003492,Newham 025A,E09000025,Newham,"10,800",4,"14,389",5,"21,656",7,"13,008",4,"18,298",6,"11,389",4,770,1,"3,247",1
E01003493,Newham 025B,E09000025,Newham,"9,393",3,"9,908",4,"14,302",5,"14,214",5,"21,373",7,"10,288",4,519,1,"7,140",3
E01003494,Newham 025C,E09000025,Newham,"13,284",5,"14,602",5,"22,694",7,"14,190",5,"26,481",9,"15,051",5,"1,390",1,"4,088",2
E01003495,Newham 025D,E09000025,Newham,"16,134",5,"15,850",5,"22,569",7,"19,222",6,"24,750",8,"20,606",7,"2,405",1,"5,691",2
E01003496,Newham 027A,E09000025,Newham,"8,737",3,"7,699",3,"9,364",3,"19,228",6,"16,839",6,"10,946",4,564,1,"16,488",6
E01003497,Newham 034A,E09000025,Newham,"6,552",2,"6,806",3,"10,891",4,"10,105",4,"12,135",4,"6,427",2,642,1,"10,006",4
E01003498,Newham 027B,E09000025,Newham,"6,586",3,"7,080",3,"9,883",4,"13,712",5,"12,288",4,"4,475",2,277,1,"16,284",5
E01003499,Newham 030A,E09000025,Newham,"4,081",2,"4,182",2,"7,400",3,"12,299",4,"9,265",3,"3,597",2,300,1,"6,388",2
E01003500,Newham 027C,E09000025,Newham,"6,133",2,"7,786",3,"9,082",3,"13,675",5,"10,198",4,"7,399",3,149,1,"9,283",3
E01003501,Newham 030B,E09000025,Newham,"5,437",2,"5,783",2,"7,359",3,"11,325",4,"14,854",5,"4,181",2,302,1,"12,375",4
E01003502,Newham 030C,E09000025,Newham,"5,384",2,"4,987",2,"10,831",4,"12,986",4,"15,871",5,"3,056",1,398,1,"5,462",2
