LSOA code (2011),LSOA name (2011),Local Authority District name (2019),No Car or vans in household(%)
E01003488,Newham 019A,Newham,52
E01003489,Newham 019B,Newham,52
E01003491,Newham 022A,Newham,52.7
E01003566,Newham 014D,Newham,48.3
E01003569,Newham 017B,Newham,47.2
E01003605,Newham 028C,Newham,47.1
E01034201,Newham 022E,Newham,52.7
E01034203,Newham 025E,Newham,41.9
E01003492,Newham 025A,Newham,41.9
E01003568,Newham 017A,Newham,47.2
E01003599,Newham 022C,Newham,52.7
E01003494,Newham 025C,Newham,41.9
E01003495,Newham 025D,Newham,41.9
E01003527,Newham 024B,Newham,41.9
E01003537,Newham 024C,Newham,41.9
E01003539,Newham 029B,Newham,40.6
E01034204,Newham 025F,Newham,41.9
E01003496,Newham 027A,Newham,54.5
E01003498,Newham 027B,Newham,54.5
E01003500,Newham 027C,Newham,54.5
E01003593,Newham 027D,Newham,54.5
E01003631,Newham 020A,Newham,53
E01003632,Newham 020B,Newham,53
E01003506,Newham 034D,Newham,63.1
E01003515,Newham 036D,Newham,48.1
E01003517,Newham 036E,Newham,48.1
E01033584,Newham 034I,Newham,63.1
E01034210,Newham 034L,Newham,63.1
E01034212,Newham 034N,Newham,63.1
E01003501,Newham 030B,Newham,58.7
E01003507,Newham 031A,Newham,53.3
E01003508,Newham 031B,Newham,53.3
E01003509,Newham 031C,Newham,53.3
E01003511,Newham 036A,Newham,48.1
E01034208,Newham 034J,Newham,63.1
E01003512,Newham 036B,Newham,48.1
E01003514,Newham 036C,Newham,48.1
E01003516,Newham 032C,Newham,39.6
E01003518,Newham 032D,Newham,39.6
E01003519,Newham 032E,Newham,39.6
E01003490,Newham 019C,Newham,52
E01003520,Newham 018A,Newham,51
E01003521,Newham 018B,Newham,51
E01003522,Newham 018C,Newham,51
E01003524,Newham 019D,Newham,52
E01003525,Newham 018D,Newham,51
E01003526,Newham 018E,Newham,51
E01003523,Newham 024A,Newham,41.9
E01003542,Newham 024D,Newham,41.9
E01003528,Newham 005A,Newham,44.9
E01003529,Newham 010A,Newham,43.6
E01003530,Newham 010B,Newham,43.6
E01003532,Newham 010D,Newham,43.6
E01003534,Newham 010E,Newham,43.6
E01003625,Newham 015A,Newham,42.3
E01003626,Newham 015B,Newham,42.3
E01003531,Newham 010C,Newham,43.6
E01003627,Newham 015C,Newham,42.3
E01003575,Newham 005B,Newham,44.9
E01003579,Newham 004A,Newham,49.5
E01003585,Newham 004B,Newham,49.5
