lsoa11cd,lsoa11nm,lsoa11nmw,st_areasha,st_lengths,IMD_Rank,IMD_Decile,LSOA01NM,LADcd,LADnm,IMDScore,IMDRank0,IMDDec0,IncScore,IncRank,IncDec,EmpScore,EmpRank,EmpDec,EduScore,EduRank,EduDec,HDDScore,HDDRank,HDDDec,CriScore,CriRank,CriDec,BHSScore,BHSRank,BHSDec,EnvScore,EnvRank,EnvDec,IDCScore,IDCRank,IDCDec,IDOScore,IDORank,IDODec,CYPScore,CYPRank,CYPDec,ASScore,ASRank,ASDec,GBScore,GBRank,GBDec,WBScore,WBRank,WBDec,IndScore,IndRank,IndDec,OutScore,OutRank,OutDec,TotPop,DepChi,Pop16_59,Pop60+,WorkPop
E01003488,Newham 019A,Newham 019A,128285.204589000000851,2145.951766477767251,"4059","2",Newham 019A,E09000025,Newham,40.689999999999998,"4059","2",0.268000000000000,"3282","1",0.177000000000000,"4510","2",24.699000000000002,"10990","4",0.347000000000000,"11012","4",0.646000000000000,"7121","3",49.497999999999998,"393","1",21.350000000000001,"14292","5",0.287000000000000,"4987","2",0.415000000000000,"1593","1",-0.348000000000000,"21696","7",0.422000000000000,"5413","2",-0.792000000000000,"27882","9",6.614000000000000,"99","1",-0.925000000000000,"28418","9",1.328000000000000,"2304","1","1987","480","1241","266",1216.000000000000000
E01003489,Newham 019B,Newham 019B,122210.350354499998502,1619.458639299867173,"6119","2",Newham 019B,E09000025,Newham,34.363000000000000,"6119","2",0.236000000000000,"4705","2",0.118000000000000,"9926","4",21.798999999999999,"12670","4",0.009000000000000,"15872","5",0.577000000000000,"8032","3",50.875999999999998,"224","1",25.559999999999999,"11437","4",0.232000000000000,"7946","3",0.472000000000000,"861","1",-0.315000000000000,"21196","7",0.393000000000000,"7262","3",-0.943000000000000,"29365","9",6.995000000000000,"16","1",-0.834000000000000,"27637","9",1.624000000000000,"1238","1","1824","497","1099","228",1071.250000000000000
E01003490,Newham 019C,Newham 019C,100829.011220000000321,1983.466431131923855,"7543","3",Newham 019C,E09000025,Newham,31.016999999999999,"7543","3",0.212000000000000,"5991","2",0.093000000000000,"13702","5",23.332000000000001,"11710","4",-0.068000000000000,"17065","6",0.290000000000000,"12079","4",49.789000000000001,"350","1",30.585999999999999,"8468","3",0.245000000000000,"7212","3",0.407000000000000,"1744","1",-0.104000000000000,"17812","6",0.389000000000000,"7551","3",-1.331000000000000,"31602","10",6.921000000000000,"26","1",0.059000000000000,"15536","5",1.342000000000000,"2246","1","1945","511","1285","149",1257.750000000000000
E01003493,Newham 025B,Newham 025B,139677.945389000000432,2425.068938261716539,"9393","3",Newham 025B,E09000025,Newham,27.327999999999999,"9393","3",0.157000000000000,"9908","4",0.090000000000000,"14302","5",19.266999999999999,"14214","5",-0.345000000000000,"21373","7",0.411000000000000,"10288","4",48.451999999999998,"519","1",33.128000000000000,"7140","3",0.170000000000000,"12277","4",0.335000000000000,"3450","2",-0.075000000000000,"17345","6",0.345000000000000,"11234","4",-1.285000000000000,"31422","10",6.665000000000000,"85","1",0.167000000000000,"13868","5",1.404000000000000,"1965","1","2445","607","1594","244",1572.250000000000000
E01003520,Newham 018A,Newham 018A,132822.759679999988293,2350.416948085663080,"9784","3",Newham 018A,E09000025,Newham,26.667000000000002,"9784","3",0.147000000000000,"10740","4",0.068000000000000,"19217","6",15.055000000000000,"17314","6",-0.562000000000000,"24204","8",1.075000000000000,"2963","1",50.015000000000001,"316","1",27.189000000000000,"10427","4",0.144000000000000,"14636","5",0.392000000000000,"2033","1",-0.269000000000000,"20507","7",0.319000000000000,"13852","5",-0.846000000000000,"28441","9",6.742000000000000,"66","1",-0.473000000000000,"23547","8",1.563000000000000,"1418","1","2173","455","1479","239",1483.000000000000000
E01003524,Newham 019D,Newham 019D,88475.385938999999780,1616.667889902578509,"8734","3",Newham 019D,E09000025,Newham,28.552000000000000,"8734","3",0.147000000000000,"10805","4",0.087000000000000,"14783","5",22.597999999999999,"12181","4",-0.655000000000000,"25405","8",0.094000000000000,"15222","5",49.396999999999998,"406","1",49.404000000000003,"2010","1",0.162000000000000,"12955","4",0.309000000000000,"4337","2",-0.118000000000000,"18044","6",0.383000000000000,"7970","3",-1.403000000000000,"31861","10",6.879000000000000,"38","1",0.805000000000000,"5634","2",1.647000000000000,"1164","1","2258","559","1475","224",1452.250000000000000
E01003565,Newham 014C,Newham 014C,88613.164828499997384,1276.554299414878869,"10503","4",Newham 014C,E09000025,Newham,25.411999999999999,"10503","4",0.158000000000000,"9768","3",0.064000000000000,"20488","7",14.138000000000000,"18040","6",0.121000000000000,"14175","5",0.209000000000000,"13336","5",49.829000000000001,"344","1",28.672000000000001,"9575","3",0.178000000000000,"11661","4",0.439000000000000,"1235","1",-0.661000000000000,"26055","8",0.339000000000000,"11797","4",-1.210000000000000,"31075","10",6.901000000000000,"32","1",0.165000000000000,"13902","5",1.045000000000000,"3832","2","1931","477","1283","171",1268.000000000000000
E01003566,Newham 014D,Newham 014D,99098.624693500009016,1584.197524411509448,"7833","3",Newham 014D,E09000025,Newham,30.414000000000001,"7833","3",0.158000000000000,"9823","3",0.094000000000000,"13612","5",19.199999999999999,"14259","5",-0.093000000000000,"17457","6",0.846000000000000,"4929","2",49.918999999999997,"333","1",34.786999999999999,"6336","2",0.149000000000000,"14169","5",0.393000000000000,"2021","1",-0.386000000000000,"22254","7",0.373000000000000,"8763","3",-1.805000000000000,"32620","10",7.107000000000000,"7","1",-0.021000000000000,"16804","6",1.744000000000000,"898","1","1851","485","1191","175",1178.500000000000000
E01003491,Newham 022A,Newham 022A,103034.509561999992002,1796.294891024605477,"8256","3",Newham 022A,E09000025,Newham,29.506000000000000,"8256","3",0.186000000000000,"7609","3",0.083000000000000,"15663","5",14.984000000000000,"17368","6",-0.430000000000000,"22509","7",0.547000000000000,"8439","3",47.616000000000000,"612","1",45.902999999999999,"2696","1",0.187000000000000,"10962","4",0.507000000000000,"599","1",-0.300000000000000,"20958","7",0.322000000000000,"13637","5",-2.072000000000000,"32790","10",6.598000000000000,"101","1",0.598000000000000,"7959","3",1.752000000000000,"885","1","2209","378","1470","361",1452.000000000000000
E01003569,Newham 017B,Newham 017B,104339.412721000000602,1559.709928708601183,"9189","3",Newham 017B,E09000025,Newham,27.715000000000000,"9189","3",0.162000000000000,"9472","3",0.076000000000000,"17127","6",15.007999999999999,"17353","6",-0.316000000000000,"20902","7",0.846000000000000,"4922","2",50.267000000000003,"290","1",29.686000000000000,"8997","3",0.178000000000000,"11710","4",0.450000000000000,"1081","1",-0.593000000000000,"25149","8",0.344000000000000,"11308","4",-1.402000000000000,"31856","10",7.329000000000000,"4","1",-0.635000000000000,"25582","8",1.827000000000000,"704","1","1959","372","1343","244",1321.250000000000000
