FID,LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,GlobalID,LSOA21CD_1,RUC21CD,RUC21NM,Urban_rura,Shape_Leng,Shape__Are,Shape__Len,GlobalID_2,NormIMD,Tran_Dis,Tran_Dist,IMD_FID,IMD_LSOA21,IMD_LSOA_1,IMD_BNG_E,IMD_BNG_N,IMD_LAT,IMD_LONG,IMD_5min_C,IMD_HubDis,IMD_Distan,IMD_NormDi,IMD_Access,IMD_No Car,IMD_IMD Sc,IMD_NormIM,IMD_Income,IMD_Inco_1,IMD_Inco_2,IMD_Employ,IMD_Empl_1,IMD_Educat,IMD_Health,IMD_Barrie,IMD_Living,IMD_5min_1
3329,E01003488,Newham 019A,,541709,183657,51.534,0.041735,38b0cecb-efc9-40e6-a2fe-596ae596f7b8,E01003488,UN1,Urban: Nearer to a major town or city,Urban,2231.035641,130102.7559,2231.035641,214b2ffd-c8ed-4e5c-a4e6-ec148099474b,0.82,0,1,3329,Newham 019A,,541709,183657,51.534,0.041735,30,346.1918448,0.54,0.46,15.23,52,40.7,0.81748072,0.3,1,3282,0.2,2,24.7,0.3,49.5,21.4,30
3330,E01003489,Newham 019B,,541447,183584,51.5335,0.037931,2d5fdbe5-3180-4339-b378-1d149c0cc330,E01003489,UN1,Urban: Nearer to a major town or city,Urban,1671.189108,122658.6131,1671.189108,76b0bd98-d05c-4517-81d5-b9b5a0024d00,0.66,0,0,3330,Newham 019B,,541447,183584,51.5335,0.037931,61,137.0988116,0.2,0.8,30.9,52,34.4,0.655526992,0.2,2,4705,0.1,4,21.8,0,50.9,25.6,61
3332,E01003491,Newham 022A,,541240,183621,51.5338,0.034964,01d15f4e-0143-4f90-b761-843ebff331f4,E01003491,UN1,Urban: Nearer to a major town or city,Urban,1871.747978,103578.4404,1871.747978,99396643-d96c-483f-ad6c-37af48788532,0.53,0,0,3332,Newham 022A,,541240,183621,51.5338,0.034964,76,92.29625739,0.12,0.88,38.44,52.7,29.5,0.529562982,0.2,3,7609,0.1,5,15,-0.4,47.6,45.9,76
3403,E01003566,Newham 014D,,541316,183997,51.5372,0.036209,c35a7ce5-2cbb-4122-a324-e2880a80a97b,E01003566,UN1,Urban: Nearer to a major town or city,Urban,1672.800098,97230.3319,1672.800098,32ffc6e1-6919-418e-86f6-5d4238182c8b,0.55,0,0,3403,Newham 014D,,541316,183997,51.5372,0.036209,90,55.11009442,0.06,0.94,45.47,48.3,30.4,0.552699229,0.2,3,9823,0.1,5,19.2,-0.1,49.9,34.8,90
3406,E01003569,Newham 017B,,541044,183980,51.5371,0.032283,d044b13d-20e7-4586-95fa-ed7dd5f08fab,E01003569,UN1,Urban: Nearer to a major town or city,Urban,1642.686384,104757.9704,1642.686384,7ec360c6-b97f-4418-9461-3b693b022117,0.48,0,0,3406,Newham 017B,,541044,183980,51.5371,0.032283,90,56.16907518,0.07,0.93,45.465,47.2,27.7,0.483290488,0.2,3,9472,0.1,6,15,-0.3,50.3,29.7,90
3442,E01003605,Newham 028C,,541278,183062,51.5288,0.035287,1539a9c5-450e-43b9-b92b-3f98367325fd,E01003605,UN1,Urban: Nearer to a major town or city,Urban,2155.784568,106143.0169,2155.784568,8008420a-d147-49c2-a86b-87953a5cc6b5,0.53,0,0,3442,Newham 028C,,541278,183062,51.5288,0.035287,85,120.9979573,0.17,0.83,42.915,47.1,29.5,0.529562982,0.2,3,8848,0.1,4,22.4,-0.3,48.5,38.2,85
32240,E01034201,Newham 022E,,541031,183220,51.5303,0.031792,e6142eb9-869e-4f60-abaf-6887b9ac602d,E01034201,UN1,Urban: Nearer to a major town or city,Urban,1835.185497,70129.08408,1835.185497,8c2745bc-8fba-4280-81ae-904d66c8d2c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32242,E01034203,Newham 025E,,541612,183341,51.5312,0.040211,aa503ab2-7461-4b00-ab21-49311656ea59,E01034203,UN1,Urban: Nearer to a major town or city,Urban,1319.036024,47395.577,1319.036024,35876e48-2cd3-43ac-89c2-8ab7f582efe0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3333,E01003492,Newham 025A,,541747,183067,51.5287,0.042045,be399d8c-645a-428d-a0f2-8c84df951e57,E01003492,UN1,Urban: Nearer to a major town or city,Urban,1961.6475,94042.06296,1961.6475,b19d01cb-662a-4724-8970-1bb3ad68b039,0.41,0,0,3333,Newham 025A,,541747,183067,51.5287,0.042045,93,46.90644593,0.05,0.95,46.975,41.9,24.9,0.411311054,0.1,5,6616,0.1,7,21.2,-0.1,46.7,43.7,93
3405,E01003568,Newham 017A,,540862,183816,51.5357,0.029595,ccfc64fc-7534-46d8-aae8-e9385ed21849,E01003568,UN1,Urban: Nearer to a major town or city,Urban,1608.013805,109774.6349,1608.013805,ef5d572e-099d-4801-a29f-84ad7fd4e9e8,0.39,0,0,3405,Newham 017A,,540862,183816,51.5357,0.029595,28,226.5930891,0.34,0.66,14.33,47.2,24,0.388174807,0.1,4,14602,0.1,5,12.7,-0.1,47.6,28.6,28
